Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,9/6/2024 5:04,FALSE,Douglas County Running,2.16,182,0:17:30,139,155,162,200,8:06,4:33,113,108,1.23,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:47.0,3,NaN,0:17:10,0:23:38,"5,912","5,974"
Running,9/4/2024 15:40,FALSE,Douglas County Running,0.27,25,03:00.3,115,140,93,210,11:13,3:42,--,--,1.55,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:00.3,1,NaN,0:01:37,04:10.5,"5,590","5,591"
Running,9/4/2024 15:00,FALSE,Douglas County Running,5.01,447,0:34:20,144,165,167,178,6:51,6:12,185,198,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:02.2,6,NaN,0:33:58,0:37:55,"5,503","5,663"
Running,9/3/2024 6:53,FALSE,Douglas County Running,0.48,54,05:00.4,143,153,157,167,10:19,8:20,31,32,0.99,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:00.4,1,NaN,0:05:00,05:00.4,"6,053","6,090"
Running,9/3/2024 6:23,FALSE,Douglas County Running,2.51,182,0:12:55,150,181,178,231,5:08,3:20,5,2,1.76,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:16.3,3,NaN,0:12:32,0:27:13,"6,085","6,096"
Running,9/3/2024 6:08,FALSE,Douglas County Running,1.24,121,0:10:01,146,165,164,201,8:04,4:11,--,--,1.21,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:56.6,2,NaN,09:57.6,0:10:01,"6,086","6,096"
Running,9/2/2024 8:02,FALSE,Douglas County Running,0.08,2,00:30.4,94,110,93,210,6:02,4:23,--,--,2.86,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:30.4,1,NaN,0:00:11,04:04.8,"5,936","5,943"
Running,9/2/2024 7:14,FALSE,Douglas County Running,5.38,508,0:40:00,143,163,167,193,7:26,4:58,343,359,1.3,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:47.3,6,NaN,0:39:57,0:40:30,"5,911","6,157"
Running,8/31/2024 7:10,FALSE,Centennial Running,12.01,"1,035",1:19:55,153,179,172,186,6:39,5:36,19,19,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:02.9,13,NaN,1:19:50,1:20:01,"5,475","5,528"
Running,8/30/2024 17:01,FALSE,Douglas County Running,5.04,447,0:35:41,150,176,169,191,7:05,4:57,180,202,1.35,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:14.1,6,NaN,0:35:40,0:36:35,"5,841","6,029"
Running,8/29/2024 6:05,FALSE,Douglas County Running,6.11,569,0:46:01,146,170,169,192,7:32,4:45,450,473,1.26,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:41.2,7,NaN,0:45:52,0:49:23,"5,855","6,047"
Running,8/28/2024 8:36,FALSE,Douglas County Running,1.2,120,0:10:01,152,170,166,171,8:20,7:32,70,64,1.17,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,01:42.9,2,NaN,0:10:01,0:10:01,"5,812","5,876"
