Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-12 17:21:18,false,"Winston-Salem Running","7.02","721","01:08:56","149","169","172","184","9:50","8:35","417","421","0.95","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:10.9","8","NaN","01:08:09","01:26:16","742","973"
Cardio,2024-09-12 08:46:40,false,"Cardio","0.00","61","00:22:03","80","115","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:22:03","1","NaN","00:00:00","00:22:03","--","--"
Cardio,2024-09-11 08:20:31,false,"Cardio","0.00","192","00:31:15","113","139","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:31:15","1","NaN","00:00:00","00:31:15","--","--"
Running,2024-09-11 06:07:50,false,"Winston-Salem Running","10.01","902","01:24:26","159","187","176","231","8:26","5:53","75","76","1.08","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.3","11","NaN","01:23:57","01:53:35","747","768"
Running,2024-09-09 18:18:02,false,"Winston-Salem Running","3.01","319","00:28:27","152","172","174","188","9:28","8:36","134","132","0.98","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:02.8","4","NaN","00:28:22","00:28:44","845","958"
Cardio,2024-09-09 17:08:08,false,"Cardio","0.00","229","00:40:17","109","143","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:40:17","1","NaN","00:00:00","00:40:17","890","890"
Running,2024-09-09 07:46:15,false,"Winston-Salem Running","6.01","569","00:57:18","147","167","171","182","9:32","8:19","157","163","0.99","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.0","7","NaN","00:56:54","01:03:47","884","969"
Running,2024-09-08 14:00:51,false,"Winston-Salem Running","7.01","639","01:10:07","139","155","171","188","10:00","8:17","202","174","0.94","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.4","8","NaN","01:09:50","01:25:35","722","778"
Running,2024-09-07 06:39:35,false,"Winston-Salem Running","16.02","1,620","02:26:12","160","188","177","188","9:08","6:39","949","947","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:09.5","17","NaN","02:25:53","02:44:05","742","982"
Cardio,2024-09-06 08:58:00,false,"Cardio","0.00","256","00:43:57","114","144","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:10:25","2","NaN","00:00:00","00:43:57","783","783"
Running,2024-09-06 08:31:23,false,"Winston-Salem Running","2.01","202","00:19:37","147","169","172","182","9:45","8:44","60","66","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:07.0","3","NaN","00:19:32","00:22:19","798","860"
Running,2024-09-05 17:17:13,false,"Winston-Salem Running","7.84","849","01:13:32","157","178","172","180","9:22","7:37","459","474","1.00","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:07:49.1","8","NaN","01:13:15","01:38:19","742","971"
Running,2024-09-04 06:11:27,false,"Winston-Salem Running","8.01","763","01:05:21","161","194","178","203","8:10","5:25","15","16","1.11","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.2","9","NaN","01:04:42","01:29:21","746","767"
Running,2024-09-02 18:15:37,false,"Winston-Salem Running","5.19","565","00:51:25","151","169","174","182","9:55","8:47","307","287","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:01:49.2","6","NaN","00:51:20","00:51:49","742","972"
Cardio,2024-09-02 10:33:10,false,"Cardio","0.00","341","01:10:10","106","141","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","01:10:10","1","NaN","00:00:00","01:10:10","831","831"
Running,2024-09-02 10:01:54,false,"Winston-Salem Running","2.01","184","00:20:12","133","150","172","188","10:03","8:19","65","65","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:05.8","3","NaN","00:19:47","00:23:33","797","860"
Running,2024-08-31 07:45:49,false,"Holden Beach Running","14.01","1,439","02:04:26","162","185","176","201","8:53","6:42","15","9","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.5","15","NaN","02:03:55","02:35:16","--","11"
