ID da atividade,Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Nome do arquivo,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Bicicleta,Equipamento,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono,Extensão da piscina,Carga de treinamento,Intensidade,Ritmo Ajustado à inclinação média,Tempo do temporizador,Total de ciclos,Mídia
627757606,10 de mai de 2016 09:21:28,Corrida Salvador,Corrida,"",3082,"8,00",161.0,105,false,,Nimbus 16 II,activities/685923983.fit.gz,75.69999694824219,,3082.0,2881.0,8007.2998046875,3.9000000953674316,,28.887500762939453,,0.0,16.5,22.200000762939453,0.01373746432363987,,,,,161.0,135.8392791748047,,,758.7936401367188,,,105.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757608,1 de mai de 2016 10:33:19,Corrida Salvador,Corrida,"",5023,"10,00",145.0,83,false,,"",activities/685923934.fit.gz,75.69999694824219,,5023.0,4858.0,10007.2998046875,3.299999952316284,,197.41319274902344,,0.0,79.0,35.900001525878906,0.5535959005355835,,,,,145.0,120.85964965820312,,,997.2740478515625,,,83.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525170.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757622,12 de mai de 2016 09:06:42,Corrida Salvador,Corrida,"",4045,"10,00",160.0,131,false,,"",activities/685923991.fit.gz,75.69999694824219,,4045.0,3881.0,10006.900390625,4.0,,173.92381286621094,,0.0,79.80000305175781,27.399999618530273,0.6005855798721313,,,,,160.0,133.6136932373047,,,991.5073852539062,,,131.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525170.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757641,17 de mai de 2016 22:01:42,Corrida Salvador,Corrida,"",3533,"9,00",156.0,119,false,,Nimbus 16 II,activities/685924025.fit.gz,75.69999694824219,,3533.0,3530.0,9007.0,4.0,,183.11416625976562,,0.0,79.30000305175781,32.099998474121094,0.7105584740638733,,,,,156.0,132.4572296142578,,,899.556640625,,,119.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757642,18 de mai de 2016 22:27:34,Corrida Salvador,Corrida,"",2906,"6,01",158.0,55,false,,"",activities/685924036.fit.gz,75.69999694824219,,2906.0,2906.0,6009.5,2.9000000953674316,,86.76429748535156,,0.0,39.900001525878906,39.20000076293945,-0.0582410991191864,,,,,158.0,116.95899963378906,,,588.806640625,,,55.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525170.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757649,7 de mai de 2016 10:15:44,Corrida Salvador,Corrida,"",5846,"14,01",160.0,222,false,,"",activities/685923960.fit.gz,75.69999694824219,,5846.0,5747.0,14009.2998046875,4.5,,262.68890380859375,,0.0,78.9000015258789,40.099998474121094,0.434711217880249,,,,,160.0,136.05831909179688,,,1384.2745361328125,,,222.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525170.0,,,,,,,,,,,,,,,,,,,,,,,,""
627757663,14 de mai de 2016 09:57:30,Corrida Salvador,Corrida,"",6811,"16,08",154.0,215,false,,Nimbus 16 II,activities/685924000.fit.gz,75.69999694824219,,6811.0,6307.0,16083.400390625,4.800000190734863,,258.6099853515625,,0.0,78.80000305175781,40.400001525878906,0.07896340638399124,,,,,154.0,133.15357971191406,,,1563.9068603515625,,,215.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508241.0,,,,,,,,,,,,,,,,,,,,,,,,""
628148258,3 de jan de 2010 22:02:39,Corrida ao entardecer,Corrida,"",3488,"6,62",158.0,173,false,,"",activities/686661107.tcx.gz,75.9000015258789,,3488.0,3428.0,6628.7998046875,3.299999952316284,,114.81500244140625,,0.0,55.70000076293945,34.900001525878906,0.09805700182914734,,,,,158.0,133.4040069580078,,,659.0552368164062,,,173.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629152811,3 de jul de 2016 15:50:17,Corrida Salvador,Corrida,PSE 3,1986,"4,00",,,false,,Nimbus 17,activities/688254645.fit.gz,75.69999694824219,,1986.0,1967.0,4003.60009765625,3.299999952316284,,48.8291015625,,0.0,84.19999694824219,21.700000762939453,-1.2238999605178833,,,,,,,,,372.1466064453125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1508239.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270193,14 de jan de 2010 10:44:09,Corrida do Bonfim,Corrida,"",2426,"6,43",185.0,175,false,,"",activities/688460414.tcx.gz,75.9000015258789,,2426.0,2409.0,6437.2998046875,5.300000190734863,,26.659643173217773,,4.0,22.700000762939453,15.399999618530273,0.15223774313926697,,,,,185.0,157.3203125,,,610.8507690429688,,,175.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270195,12 de jan de 2010 09:47:27,Corrida matinal,Corrida,"",2118,"5,52",170.0,100,false,,"",activities/688460421.tcx.gz,75.9000015258789,,2118.0,2118.0,5528.5,3.700000047683716,,51.24285888671875,,0.0,25.799999237060547,35.400001525878906,-0.14651352167129517,,,,,170.0,143.05294799804688,,,534.5294189453125,,,100.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270204,7 de jan de 2010 09:38:15,Corrida matinal,Corrida,"",2198,"5,11",156.0,85,false,,"",activities/688460429.tcx.gz,75.9000015258789,,2198.0,2198.0,5114.89990234375,3.200000047683716,,14.600000381469727,,0.0,15.300000190734863,19.399999618530273,0.025415942072868347,,,,,156.0,136.27401733398438,,,492.34002685546875,,,85.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
629270205,9 de jan de 2010 09:34:14,Corrida matinal,Corrida,"",2362,"5,92",171.0,133,false,,"",activities/688460427.tcx.gz,75.9000015258789,,2362.0,2358.0,5922.10009765625,3.4000000953674316,,0.0,,3.200000047683716,14.5,10.5,0.005065770819783211,,,,,171.0,147.14678955078125,,,558.291259765625,,,133.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1525988.0,,,,,,,,,,,,,,,,,,,,,,,,""
